# Source: EPA Power Profiler crosswalk (USEPA/power-profiler GitHub, eGRID2023).
# (zip, wires utility) grain — feeds zip_supplier_candidates for non-CCA rows.
zip,state,eiaid,utility_name,subregion,predominant
01020,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01020,MA,8774,City of Holyoke - (MA),NEWE,FALSE
01021,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01022,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01026,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01027,MA,8774,City of Holyoke - (MA),NEWE,TRUE
01027,MA,11804,Massachusetts Electric Co,NEWE,FALSE
01028,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01029,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01030,MA,20481,City of Westfield - (MA),NEWE,TRUE
01031,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01032,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01033,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01033,MA,11804,Massachusetts Electric Co,NEWE,FALSE
01034,MA,16438,City of Russell - (MA),NEWE,TRUE
01034,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01035,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01036,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01037,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01038,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01039,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01040,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01040,MA,8774,City of Holyoke - (MA),NEWE,FALSE
01040,MA,20481,City of Westfield - (MA),NEWE,FALSE
01041,MA,8774,City of Holyoke - (MA),NEWE,TRUE
01050,MA,3447,Town of Chester,NEWE,TRUE
01050,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01053,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01054,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01056,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01056,MA,11804,Massachusetts Electric Co,NEWE,FALSE
01057,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01059,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01060,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01061,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01062,MA,8774,City of Holyoke - (MA),NEWE,TRUE
01062,MA,11804,Massachusetts Electric Co,NEWE,FALSE
01063,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01066,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01068,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01069,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01070,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01071,MA,20481,City of Westfield - (MA),NEWE,TRUE
01072,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01073,MA,8774,City of Holyoke - (MA),NEWE,TRUE
01073,MA,20481,City of Westfield - (MA),NEWE,FALSE
01074,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01075,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01075,MA,8774,City of Holyoke - (MA),NEWE,FALSE
01075,MA,11804,Massachusetts Electric Co,NEWE,FALSE
01077,MA,20481,City of Westfield - (MA),NEWE,TRUE
01079,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01080,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01081,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01082,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01083,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01084,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01085,MA,8774,City of Holyoke - (MA),NEWE,TRUE
01085,MA,20481,City of Westfield - (MA),NEWE,FALSE
01086,MA,20481,City of Westfield - (MA),NEWE,TRUE
01088,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01089,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01089,MA,8774,City of Holyoke - (MA),NEWE,FALSE
01089,MA,20481,City of Westfield - (MA),NEWE,FALSE
01090,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01092,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01093,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01094,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01095,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01096,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01097,MA,16438,City of Russell - (MA),NEWE,TRUE
01097,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01098,MA,3447,Town of Chester,NEWE,TRUE
01098,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01101,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01102,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01103,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01104,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01105,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01106,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01107,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01108,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01109,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01111,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01115,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
